"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","0.8299","0.8387","0.8535","0.8029","457.62M","-1.04%"
"12/30/2021","0.8387","0.8168","0.8586","0.8042","502.92M","2.72%"
"12/29/2021","0.8165","0.8516","0.8644","0.8118","574.42M","-4.07%"
"12/28/2021","0.8511","0.9266","0.9268","0.8457","604.16M","-8.11%"
"12/27/2021","0.9262","0.9197","0.9550","0.9152","442.48M","0.70%"
"12/26/2021","0.9198","0.9252","0.9331","0.9057","313.23M","-0.59%"
"12/25/2021","0.9252","0.9106","0.9334","0.8992","464.59M","1.61%"
"12/24/2021","0.9106","0.9939","0.9959","0.8938","998.32M","-8.39%"
"12/23/2021","0.9940","0.9537","1.0161","0.9387","967.00M","4.21%"
"12/22/2021","0.9538","0.9468","0.9723","0.9243","772.54M","0.73%"
"12/21/2021","0.9469","0.8796","0.9604","0.8531","888.15M","7.78%"
"12/20/2021","0.8786","0.8351","0.9136","0.8250","1.05B","5.21%"
"12/19/2021","0.8351","0.8264","0.8479","0.8197","326.03M","1.05%"
"12/18/2021","0.8264","0.7975","0.8341","0.7912","333.85M","3.63%"
"12/17/2021","0.7975","0.8054","0.8306","0.7767","508.54M","-0.96%"
"12/16/2021","0.8052","0.8262","0.8362","0.8035","410.59M","-2.56%"
"12/15/2021","0.8263","0.8103","0.8395","0.7778","748.92M","1.92%"
"12/14/2021","0.8108","0.7818","0.8205","0.7736","753.47M","3.71%"
"12/13/2021","0.7818","0.8397","0.8439","0.7612","701.25M","-6.92%"
"12/12/2021","0.8399","0.8377","0.8563","0.8096","441.73M","0.32%"
"12/11/2021","0.8372","0.8000","0.8434","0.7864","561.08M","4.76%"
"12/10/2021","0.7992","0.8579","0.8820","0.7953","957.23M","-6.87%"
"12/09/2021","0.8581","0.8617","0.9330","0.8329","1.26B","-0.39%"
"12/08/2021","0.8615","0.8153","0.8830","0.8049","811.57M","5.65%"
"12/07/2021","0.8154","0.8264","0.8441","0.8049","635.49M","-1.37%"
"12/06/2021","0.8267","0.8042","0.8298","0.7504","974.49M","2.81%"
"12/05/2021","0.8041","0.8453","0.8593","0.7789","963.26M","-5.07%"
"12/04/2021","0.8470","0.9213","0.9244","0.6207","2.19B","-8.07%"
"12/03/2021","0.9213","0.9719","0.9833","0.8967","582.44M","-5.23%"
"12/02/2021","0.9722","0.9895","0.9900","0.9565","429.13M","-1.76%"
"12/01/2021","0.9896","0.9984","1.0172","0.9804","478.61M","-0.81%"
"11/30/2021","0.9976","0.9895","1.0297","0.9712","653.91M","0.82%"
"11/29/2021","0.9895","0.9689","1.0015","0.9632","598.77M","2.11%"
"11/28/2021","0.9690","0.9453","0.9690","0.8902","643.46M","2.49%"
"11/27/2021","0.9455","0.9385","0.9649","0.9340","443.48M","0.74%"
"11/26/2021","0.9385","1.0428","1.0464","0.9230","1.15B","-9.99%"
"11/25/2021","1.0427","1.0327","1.0637","1.0221","604.41M","0.93%"
"11/24/2021","1.0331","1.0721","1.0729","1.0094","656.76M","-3.64%"
"11/23/2021","1.0721","1.0354","1.0818","1.0215","664.53M","3.54%"
"11/22/2021","1.0355","1.0581","1.0680","1.0262","647.38M","-2.13%"
"11/21/2021","1.0580","1.0961","1.0972","1.0553","468.55M","-3.48%"
"11/20/2021","1.0961","1.0896","1.1010","1.0621","493.24M","0.60%"
"11/19/2021","1.0896","1.0414","1.0985","1.0184","711.47M","4.64%"
"11/18/2021","1.0413","1.0956","1.1580","1.0193","1.34B","-4.96%"
"11/17/2021","1.0957","1.0884","1.1124","1.0598","777.75M","0.66%"
"11/16/2021","1.0885","1.1721","1.1722","1.0489","1.14B","-7.14%"
"11/15/2021","1.1722","1.1880","1.2193","1.1679","537.98M","-1.32%"
"11/14/2021","1.1879","1.1894","1.1992","1.1677","389.09M","-0.12%"
"11/13/2021","1.1894","1.1883","1.2036","1.1679","467.52M","0.08%"
"11/12/2021","1.1884","1.2149","1.2328","1.1554","617.77M","-2.19%"
"11/11/2021","1.2150","1.1923","1.2542","1.1771","647.85M","1.91%"
"11/10/2021","1.1922","1.2562","1.3463","1.1359","1.26B","-5.08%"
"11/09/2021","1.2561","1.2818","1.2877","1.2300","622.97M","-2.01%"
"11/08/2021","1.2818","1.2179","1.2947","1.2179","788.09M","5.25%"
"11/07/2021","1.2179","1.1514","1.2361","1.1453","471.70M","5.79%"
"11/06/2021","1.1512","1.1582","1.1733","1.1072","356.14M","-0.61%"
"11/05/2021","1.1583","1.2014","1.2014","1.1365","464.16M","-3.59%"
"11/04/2021","1.2015","1.2101","1.2551","1.1653","738.50M","-0.71%"
"11/03/2021","1.2101","1.1352","1.2339","1.1259","1.12B","6.61%"
"11/02/2021","1.1351","1.0920","1.1461","1.0856","518.14M","3.94%"
"11/01/2021","1.0921","1.1127","1.1310","1.0710","501.80M","-1.84%"
"10/31/2021","1.1126","1.0841","1.1521","1.0700","823.88M","2.63%"
"10/30/2021","1.0841","1.0811","1.1154","1.0632","479.64M","0.29%"
"10/29/2021","1.0810","1.0581","1.0900","1.0552","484.84M","2.18%"
"10/28/2021","1.0579","0.9936","1.0809","0.9822","906.77M","6.49%"
"10/27/2021","0.9935","1.1067","1.1246","0.9547","1.35B","-10.23%"
"10/26/2021","1.1067","1.0953","1.1593","1.0931","589.66M","1.05%"
"10/25/2021","1.0953","1.0823","1.1027","1.0784","302.26M","1.19%"
"10/24/2021","1.0823","1.0935","1.0955","1.0568","315.37M","-1.02%"
"10/23/2021","1.0935","1.0890","1.1015","1.0766","263.60M","0.40%"
"10/22/2021","1.0892","1.0884","1.1283","1.0781","475.46M","0.08%"
"10/21/2021","1.0884","1.1438","1.1634","1.0871","619.77M","-4.83%"
"10/20/2021","1.1437","1.0910","1.1525","1.0870","488.43M","4.81%"
"10/19/2021","1.0911","1.0831","1.0996","1.0696","349.32M","0.74%"
"10/18/2021","1.0831","1.0929","1.1058","1.0650","465.84M","-0.90%"
"10/17/2021","1.0929","1.1340","1.1405","1.0248","536.15M","-3.62%"
"10/16/2021","1.1340","1.1414","1.1852","1.1305","473.80M","-0.63%"
"10/15/2021","1.1412","1.1332","1.1636","1.0973","883.12M","0.71%"
"10/14/2021","1.1332","1.1277","1.1564","1.1185","481.87M","0.47%"
"10/13/2021","1.1279","1.1007","1.1381","1.0756","550.37M","2.47%"
"10/12/2021","1.1007","1.1377","1.1377","1.0659","626.45M","-3.25%"
"10/11/2021","1.1377","1.1355","1.1814","1.1076","580.27M","0.17%"
"10/10/2021","1.1358","1.1604","1.2216","1.1295","856.25M","-2.04%"
"10/09/2021","1.1594","1.0624","1.2081","1.0576","876.03M","9.19%"
"10/08/2021","1.0619","1.0676","1.0917","1.0558","462.56M","-0.43%"
"10/07/2021","1.0665","1.0762","1.0938","1.0449","567.98M","-0.90%"
"10/06/2021","1.0762","1.0840","1.1070","1.0195","702.12M","-0.80%"
"10/05/2021","1.0848","1.0417","1.0875","1.0382","580.60M","4.15%"
"10/04/2021","1.0416","1.0551","1.0596","1.0067","566.15M","-1.27%"
"10/03/2021","1.0550","1.0362","1.0880","1.0211","554.18M","1.82%"
"10/02/2021","1.0362","1.0421","1.0699","1.0087","548.19M","-0.48%"
"10/01/2021","1.0412","0.9532","1.0646","0.9444","878.85M","9.22%"
"09/30/2021","0.9533","0.9267","0.9637","0.9222","449.64M","2.86%"
"09/29/2021","0.9268","0.8931","0.9907","0.8866","639.76M","3.77%"
"09/28/2021","0.8931","0.9219","0.9420","0.8912","450.34M","-3.12%"
"09/27/2021","0.9219","0.9441","0.9813","0.9206","505.21M","-2.40%"
"09/26/2021","0.9445","0.9401","0.9563","0.8923","574.12M","0.47%"
