"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2022","0.3390","0.3450","0.3452","0.3388","20.70M","-1.79%"
"12/30/2022","0.3452","0.3421","0.3458","0.3337","54.14M","0.93%"
"12/29/2022","0.3420","0.3558","0.3578","0.3373","90.70M","-3.87%"
"12/28/2022","0.3557","0.3675","0.3687","0.3549","78.94M","-3.19%"
"12/27/2022","0.3675","0.3658","0.3727","0.3586","68.11M","0.45%"
"12/26/2022","0.3658","0.3457","0.3696","0.3456","67.18M","5.79%"
"12/25/2022","0.3458","0.3517","0.3519","0.3439","28.23M","-1.68%"
"12/24/2022","0.3517","0.3543","0.3543","0.3510","14.72M","-0.74%"
"12/23/2022","0.3543","0.3491","0.3549","0.3471","42.78M","1.49%"
"12/22/2022","0.3491","0.3448","0.3502","0.3415","49.99M","1.22%"
"12/21/2022","0.3449","0.3481","0.3502","0.3382","61.38M","-0.90%"
"12/20/2022","0.3480","0.3388","0.3528","0.3359","107.76M","2.75%"
"12/19/2022","0.3387","0.3498","0.3529","0.3321","68.83M","-3.16%"
"12/18/2022","0.3498","0.3545","0.3553","0.3477","8.53M","-1.33%"
"12/17/2022","0.3545","0.3509","0.3569","0.3471","39.01M","1.02%"
"12/16/2022","0.3509","0.3779","0.3798","0.3445","78.03M","-7.14%"
"12/15/2022","0.3779","0.3852","0.3867","0.3740","61.68M","-1.88%"
"12/14/2022","0.3852","0.3951","0.3954","0.3768","62.66M","-2.52%"
"12/13/2022","0.3951","0.3874","0.3965","0.3783","65.30M","2.00%"
"12/12/2022","0.3874","0.3808","0.3896","0.3708","49.10M","1.71%"
"12/11/2022","0.3808","0.3865","0.3885","0.3783","20.10M","-1.44%"
"12/10/2022","0.3864","0.3888","0.3893","0.3855","16.86M","-0.62%"
"12/09/2022","0.3888","0.3941","0.3950","0.3849","43.54M","-1.39%"
"12/08/2022","0.3943","0.3832","0.3960","0.3830","47.89M","2.90%"
"12/07/2022","0.3832","0.3913","0.3923","0.3746","52.47M","-2.09%"
"12/06/2022","0.3914","0.3892","0.3923","0.3808","52.58M","0.53%"
"12/05/2022","0.3893","0.3895","0.3951","0.3801","49.41M","-0.05%"
"12/04/2022","0.3895","0.3872","0.3929","0.3862","24.07M","0.59%"
"12/03/2022","0.3872","0.3959","0.3970","0.3854","26.66M","-2.21%"
"12/02/2022","0.3960","0.3968","0.3975","0.3840","44.82M","-0.21%"
"12/01/2022","0.3968","0.4077","0.4090","0.3945","42.91M","-2.71%"
"11/30/2022","0.4078","0.3981","0.4112","0.3933","48.63M","2.42%"
"11/29/2022","0.3982","0.3888","0.4033","0.3832","57.13M","2.30%"
"11/28/2022","0.3892","0.3962","0.3990","0.3734","75.11M","-1.73%"
"11/27/2022","0.3961","0.3961","0.4091","0.3943","34.44M","0.05%"
"11/26/2022","0.3959","0.4078","0.4144","0.3928","30.59M","-2.86%"
"11/25/2022","0.4075","0.4019","0.4191","0.3890","66.17M","1.39%"
"11/24/2022","0.4019","0.3815","0.4047","0.3742","67.84M","5.32%"
"11/23/2022","0.3816","0.3756","0.3822","0.3682","52.79M","1.61%"
"11/22/2022","0.3756","0.3645","0.3782","0.3512","69.04M","3.05%"
"11/21/2022","0.3645","0.3610","0.3686","0.3457","83.48M","0.93%"
"11/20/2022","0.3611","0.3841","0.3961","0.3590","44.41M","-6.00%"
"11/19/2022","0.3841","0.3790","0.3883","0.3788","29.25M","0.70%"
"11/18/2022","0.3815","0.3795","0.3850","0.3746","46.33M","-0.59%"
"11/17/2022","0.3837","0.3751","0.3867","0.3692","71.91M","2.70%"
"11/16/2022","0.3736","0.3887","0.3910","0.3620","55.89M","-3.86%"
"11/15/2022","0.3887","0.3776","0.3974","0.3668","99.13M","2.92%"
"11/14/2022","0.3776","0.3407","0.3795","0.3216","103.58M","10.76%"
"11/13/2022","0.3410","0.3636","0.3693","0.3330","54.09M","-6.20%"
"11/12/2022","0.3635","0.3842","0.3847","0.3598","45.70M","-5.42%"
"11/11/2022","0.3843","0.3942","0.3988","0.3662","69.97M","-2.57%"
"11/10/2022","0.3944","0.3330","0.4027","0.3301","111.59M","18.72%"
"11/09/2022","0.3322","0.4055","0.4108","0.3148","151.51M","-18.12%"
"11/08/2022","0.4058","0.4647","0.4668","0.3347","161.07M","-12.68%"
"11/07/2022","0.4647","0.4709","0.4799","0.4587","57.51M","-1.32%"
"11/06/2022","0.4709","0.4931","0.4948","0.4681","28.75M","-4.49%"
"11/05/2022","0.4931","0.5063","0.5097","0.4894","36.18M","-2.65%"
"11/04/2022","0.5065","0.4548","0.5077","0.4533","112.45M","11.36%"
"11/03/2022","0.4548","0.4499","0.4597","0.4489","51.61M","1.11%"
"11/02/2022","0.4498","0.4636","0.4659","0.4455","67.27M","-2.98%"
"11/01/2022","0.4637","0.4642","0.4670","0.4546","58.37M","-0.14%"
"10/31/2022","0.4643","0.4582","0.4673","0.4482","79.55M","1.36%"
"10/30/2022","0.4581","0.4702","0.4732","0.4542","42.44M","-2.55%"
"10/29/2022","0.4701","0.4743","0.4836","0.4664","60.87M","-0.92%"
"10/28/2022","0.4745","0.4615","0.4754","0.4566","47.04M","2.81%"
"10/27/2022","0.4615","0.4688","0.4824","0.4587","90.92M","-1.60%"
"10/26/2022","0.4690","0.4606","0.4710","0.4567","80.02M","1.79%"
"10/25/2022","0.4608","0.4531","0.4728","0.4437","84.40M","1.70%"
"10/24/2022","0.4531","0.4689","0.4728","0.4481","67.05M","-3.38%"
"10/23/2022","0.4689","0.4655","0.4725","0.4521","43.72M","0.74%"
"10/22/2022","0.4655","0.4614","0.4705","0.4563","37.26M","0.88%"
"10/21/2022","0.4614","0.4467","0.4616","0.4347","85.75M","3.34%"
"10/20/2022","0.4465","0.4505","0.4646","0.4264","87.86M","-0.88%"
"10/19/2022","0.4505","0.4657","0.4666","0.4475","67.34M","-3.28%"
"10/18/2022","0.4658","0.4805","0.4843","0.4572","74.92M","-2.99%"
"10/17/2022","0.4801","0.4765","0.4823","0.4626","64.14M","0.75%"
"10/16/2022","0.4766","0.4818","0.4874","0.4682","43.16M","-1.09%"
"10/15/2022","0.4818","0.4882","0.4901","0.4780","38.84M","-1.34%"
"10/14/2022","0.4884","0.4791","0.5120","0.4783","100.33M","1.93%"
